"KO","WT","cluster","total","KO_pct","WT_pct"
7934,1024,"0",8958,88.5688769814691,11.4311230185309
3606,951,"1",4557,79.1310072416063,20.8689927583937
1838,1389,"2",3227,56.9569259374032,43.0430740625968
2373,747,"3",3120,76.0576923076923,23.9423076923077
1971,1121,"4",3092,63.745148771022,36.254851228978
2579,315,"5",2894,89.1154111955771,10.8845888044229
2245,446,"6",2691,83.4262356001486,16.5737643998514
2025,448,"7",2473,81.8843509906996,18.1156490093004
2242,210,"8",2452,91.4355628058728,8.56443719412724
277,1034,"9",1311,21.1289092295957,78.8710907704043
740,492,"10",1232,60.0649350649351,39.9350649350649
343,881,"11",1224,28.0228758169935,71.9771241830065
606,203,"12",809,74.9072929542645,25.0927070457355
428,370,"13",798,53.6340852130326,46.3659147869674
494,100,"14",594,83.1649831649832,16.8350168350168
377,156,"15",533,70.7317073170732,29.2682926829268
261,271,"16",532,49.0601503759398,50.9398496240602
18,252,"17",270,6.66666666666667,93.3333333333333
