"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
0,3.25903611304225,0.895,0.227,0,"BST2","Up in KO"
0,2.36868916367949,0.873,0.329,0,"IFITM1","Up in KO"
0,-3.66286205837041,0.1,0.611,0,"ZIC1","Down in KO"
0,-9.58253417864213,0.002,0.501,0,"S100A6","Down in KO"
0,2.91490076746985,0.781,0.291,0,"HDAC9","Up in KO"
0,4.69960872321291,0.536,0.046,0,"EMX2","Up in KO"
0,3.24231177476881,0.76,0.284,0,"PLS3","Up in KO"
0,2.80394963246311,0.645,0.175,0,"RSPO2","Up in KO"
0,1.98603037818624,0.657,0.188,0,"IFI44L","Up in KO"
0,2.50218555177248,0.722,0.263,0,"CXCL14","Up in KO"
0,1.89865911660317,0.991,0.533,0,"IFI27","Up in KO"
0,3.08135510821702,0.637,0.192,0,"PRTG","Up in KO"
0,-4.25071179559152,0.094,0.53,0,"TUBB2A","Down in KO"
0,2.08568778638187,0.789,0.354,0,"WIF1","Up in KO"
0,-4.86211047203718,0.034,0.46,0,"ECRG4","Down in KO"
0,-5.76692007787596,0.01,0.428,0,"AC092957.1","Down in KO"
0,-4.10655125907157,0.098,0.513,0,"TUBB2B","Down in KO"
0,2.17478961466175,0.756,0.342,0,"KRT18","Up in KO"
0,1.9371430903567,0.869,0.457,0,"HLA-C","Up in KO"
0,-3.68089546121546,0.087,0.497,0,"DNER","Down in KO"
0,3.70644533730049,0.511,0.101,0,"IGFBP3","Up in KO"
0,1.97389176941682,0.608,0.205,0,"PLSCR1","Up in KO"
0,1.30804452086107,0.908,0.512,0,"ISG15","Up in KO"
0,2.50470506462996,0.701,0.308,0,"ZFYVE16","Up in KO"
0,2.28146978409909,0.752,0.361,0,"SYNE2","Up in KO"
0,-2.67756198738166,0.085,0.463,0,"NOVA1","Down in KO"
0,1.66563707097739,0.922,0.547,0,"HLA-B","Up in KO"
0,1.72380999346807,0.766,0.41,0,"LY6E","Up in KO"
0,1.28659361278008,0.65,0.297,0,"IFIT1","Up in KO"
0,-3.99514335675934,0.025,0.376,0,"EMC10","Down in KO"
0,2.83896488252356,0.455,0.105,0,"HERC5","Up in KO"
0,1.95102077999679,0.519,0.171,0,"IFIT3","Up in KO"
0,2.1654526706459,0.554,0.208,0,"STAT1","Up in KO"
0,4.19949737399685,0.386,0.04,0,"HIST1H1E","Up in KO"
0,0.899157919950676,0.87,0.525,0,"PCP4","Up in KO"
0,2.00872012653615,0.618,0.274,0,"IGFBP5","Up in KO"
0,-1.95494395438392,0.265,0.606,0,"FEZ1","Down in KO"
0,2.15862507374968,0.601,0.261,0,"CFI","Up in KO"
0,1.65216166683668,0.598,0.258,0,"HSD17B2","Up in KO"
0,-4.03213697704802,0.047,0.385,0,"CD24","Down in KO"
0,0.934849116314859,0.699,0.365,0,"CRYAB","Up in KO"
0,2.30048841937916,0.54,0.208,0,"SAMD5","Up in KO"
0,2.9767138223992,0.41,0.078,0,"SP100","Up in KO"
0,-5.69604522336602,0.007,0.335,0,"CLEC11A","Down in KO"
0,1.22496121931833,0.532,0.205,0,"MX1","Up in KO"
0,1.73706349740369,0.48,0.155,0,"PSMB9","Up in KO"
0,-2.78149436278981,0.184,0.507,0,"MLLT11","Down in KO"
0,-2.68868096919208,0.192,0.514,0,"GPM6B","Down in KO"
0,2.11278595488619,0.706,0.384,0,"MID1","Up in KO"
0,1.91282381247932,0.576,0.257,0,"GPNMB","Up in KO"
